post_title,post_name,post_parent,ID,post_excerpt,post_content,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,parent,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_brand,tax:product_gender,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:product_banner,meta:total_sales,meta:wcbvp_variations_structure,meta:attribute_pa_color,meta:attribute_pa_size,attribute:NeckDesign,attribute_data:NeckDesign,attribute_default:NeckDesign,attribute:SleeveStyle,attribute_data:SleeveStyle,attribute_default:SleeveStyle,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_size,attribute_data:pa_size,attribute_default:pa_size
"Product 1",product-1,,16,,,publish,,0,"2021-05-07 12:28:13",1,open,,,,,no,no,199,10,,,,,,,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-1/,Bali,,variable,,"Clothing &amp; Accessories|Clothing &amp; Accessories > Baby > Baby Boys > Accessories > Socks|Clothing &amp; Accessories > Boys > Underwear > Undershirts|Clothing &amp; Accessories > Girls > Underwear",,,,1,"{""columns"":""pa_size"",""rows"":""pa_color""}",,,,,,,,,Black|Red,0|1|1,,M|XL,1|1|1,
"Product 1 - Black, M",test-product-m-black,16,22,"Color: Black, Size: M",,publish,,1,"2021-06-11 14:05:23",1,closed,,,,,no,no,,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-1/,,,,,,,,,0,,Black,M,,,,,,,,,,,,
"Product 1 - Black, XL",test-product-xl-black,16,23,"Color: Black, Size: XL",,publish,,2,"2021-06-11 14:05:23",1,closed,,,,,no,no,,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-1/,,,,,,,,,0,,Black,XL,,,,,,,,,,,,
"Product 1 - Red, M",test-product-m-red,16,24,"Color: Red, Size: M",,publish,,3,"2021-06-11 14:05:23",1,closed,,,,,no,no,,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-1/,,,,,,,,,0,,Red,M,,,,,,,,,,,,
"Product 1 - Red, XL",test-product-xl-red,16,25,"Color: Red, Size: XL",,publish,,4,"2021-06-11 14:05:23",1,closed,,,,,no,no,,12,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-1/,,,,,,,,,0,,Red,XL,,,,,,,,,,,,
"Product 2",product-2,,26,,"Donec velit risus, aliquet vel cursus sed, pulvinar at nisl. Sed aliquam mauris dignissim nunc ultricies pulvinar. Morbi ac eros tempus, rutrum augue et, tincidunt odio. Sed vitae lorem sit amet lacus accumsan faucibus ac eu dolor. Cras eget elit arcu. Pellentesque tristique porta cursus. Sed risus diam, condimentum ullamcorper tincidunt ac, sodales a nunc. Nullam felis sapien, euismod ac quam sed, pulvinar congue eros. Proin sit amet arcu malesuada, ullamcorper felis sed, vestibulum nisl. Proin bibendum vitae ligula maximus placerat. Pellentesque quis nisi vel est finibus faucibus. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec semper et est nec viverra. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos.",publish,,0,"2021-06-11 16:58:53",1,closed,HK25674,,,,no,no,159,4,,,,,,,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"http://205.134.254.135/~teamh/apparel_direct/wp-content/uploads/2021/06/rec3.jpg ! alt :  ! title : rec3 ! desc :  ! caption :  | http://205.134.254.135/~teamh/apparel_direct/wp-content/uploads/2021/06/men-menu.jpg ! alt :  ! title : men-menu ! desc :  ! caption :  | http://205.134.254.135/~teamh/apparel_direct/wp-content/uploads/2021/06/girls-menu.jpg ! alt :  ! title : girls-menu ! desc :  ! caption :  | http://205.134.254.135/~teamh/apparel_direct/wp-content/uploads/2021/06/boys-menu.jpg ! alt :  ! title : boys-menu ! desc :  ! caption : ",,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,Bali|Champion|Hanes|Maidenform|Playtex,,variable,,"Clothing &amp; Accessories > Baby > Baby Boys",,,122,41,"{""columns"":""pa_size"",""rows"":""pa_color""}",,,,,,,,,"Black|Blue|Green|Orange|Purple|Red|Sky Blue|White|Yellow",0|1|1,,2XL|3XL|4XL|L|M|S|XL|XS|XXL,1|1|1,
"Product 2 - Black, 2XL",product-2-2xl-black,26,820,"Color: Black, Size: 2XL",,publish,,1,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Black,2XL,,,,,,,,,,,,
"Product 2 - Black, 3XL",product-2-3xl-black,26,821,"Color: Black, Size: 3XL",,publish,,2,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Black,3XL,,,,,,,,,,,,
"Product 2 - Black, 4XL",product-2-4xl-black,26,822,"Color: Black, Size: 4XL",,publish,,3,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Black,4XL,,,,,,,,,,,,
"Product 2 - Black, XS",product-2-xs-black,26,823,"Color: Black, Size: XS",,publish,,4,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,7,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Black,XS,,,,,,,,,,,,
"Product 2 - Blue, 2XL",product-2-2xl-blue,26,824,"Color: Blue, Size: 2XL",,publish,,5,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Blue,2XL,,,,,,,,,,,,
"Product 2 - Blue, 3XL",product-2-3xl-blue,26,825,"Color: Blue, Size: 3XL",,publish,,6,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,7,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Blue,3XL,,,,,,,,,,,,
"Product 2 - Blue, 4XL",product-2-4xl-blue,26,826,"Color: Blue, Size: 4XL",,publish,,7,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Blue,4XL,,,,,,,,,,,,
"Product 2 - Blue, XS",product-2-xs-blue,26,827,"Color: Blue, Size: XS",,publish,,8,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Blue,XS,,,,,,,,,,,,
"Product 2 - Green, 2XL",product-2-2xl-green,26,828,"Color: Green, Size: 2XL",,publish,,9,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,7,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Green,2XL,,,,,,,,,,,,
"Product 2 - Green, 3XL",product-2-3xl-green,26,829,"Color: Green, Size: 3XL",,publish,,10,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Green,3XL,,,,,,,,,,,,
"Product 2 - Green, 4XL",product-2-4xl-green,26,830,"Color: Green, Size: 4XL",,publish,,11,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,7,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Green,4XL,,,,,,,,,,,,
"Product 2 - Green, XS",product-2-xs-green,26,831,"Color: Green, Size: XS",,publish,,12,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Green,XS,,,,,,,,,,,,
"Product 2 - Orange, 2XL",product-2-2xl-orange,26,832,"Color: Orange, Size: 2XL",,publish,,13,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Orange,2XL,,,,,,,,,,,,
"Product 2 - Orange, 3XL",product-2-3xl-orange,26,833,"Color: Orange, Size: 3XL",,publish,,14,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,7,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Orange,3XL,,,,,,,,,,,,
"Product 2 - Orange, 4XL",product-2-4xl-orange,26,834,"Color: Orange, Size: 4XL",,publish,,15,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,6,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Orange,4XL,,,,,,,,,,,,
"Product 2 - Orange, L",product-2-l-orange,26,835,"Color: Orange, Size: L",,publish,,16,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,5,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Orange,L,,,,,,,,,,,,
"Product 2 - Orange, M",product-2-m-orange,26,836,"Color: Orange, Size: M",,publish,,17,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,6,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Orange,M,,,,,,,,,,,,
"Product 2 - Orange, S",product-2-s-orange,26,837,"Color: Orange, Size: S",,publish,,18,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,7,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Orange,S,,,,,,,,,,,,
"Product 2 - Orange, XL",product-2-xl-orange,26,838,"Color: Orange, Size: XL",,publish,,19,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Orange,XL,,,,,,,,,,,,
"Product 2 - Orange, XS",product-2-xs-orange,26,839,"Color: Orange, Size: XS",,publish,,20,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Orange,XS,,,,,,,,,,,,
"Product 2 - Orange, XXL",product-2-xxl-orange,26,840,"Color: Orange, Size: XXL",,publish,,21,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,10,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Orange,XXL,,,,,,,,,,,,
"Product 2 - Purple, 2XL",product-2-2xl-purple,26,841,"Color: Purple, Size: 2XL",,publish,,22,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Purple,2XL,,,,,,,,,,,,
"Product 2 - Purple, 3XL",product-2-3xl-purple,26,842,"Color: Purple, Size: 3XL",,publish,,23,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,7,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Purple,3XL,,,,,,,,,,,,
"Product 2 - Purple, 4XL",product-2-4xl-purple,26,843,"Color: Purple, Size: 4XL",,publish,,24,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Purple,4XL,,,,,,,,,,,,
"Product 2 - Purple, L",product-2-l-purple,26,844,"Color: Purple, Size: L",,publish,,25,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,7,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Purple,L,,,,,,,,,,,,
"Product 2 - Purple, M",product-2-m-purple,26,845,"Color: Purple, Size: M",,publish,,26,"2021-07-08 09:58:23",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Purple,M,,,,,,,,,,,,
"Product 2 - Purple, S",product-2-s-purple,26,846,"Color: Purple, Size: S",,publish,,27,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,7,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Purple,S,,,,,,,,,,,,
"Product 2 - Purple, XL",product-2-xl-purple,26,847,"Color: Purple, Size: XL",,publish,,28,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Purple,XL,,,,,,,,,,,,
"Product 2 - Purple, XS",product-2-xs-purple,26,848,"Color: Purple, Size: XS",,publish,,29,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,4,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Purple,XS,,,,,,,,,,,,
"Product 2 - Purple, XXL",product-2-xxl-purple,26,849,"Color: Purple, Size: XXL",,publish,,30,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Purple,XXL,,,,,,,,,,,,
"Product 2 - Red, 2XL",product-2-2xl-red,26,850,"Color: Red, Size: 2XL",,publish,,31,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,5,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Red,2XL,,,,,,,,,,,,
"Product 2 - Red, 3XL",product-2-3xl-red,26,851,"Color: Red, Size: 3XL",,publish,,32,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,6,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Red,3XL,,,,,,,,,,,,
"Product 2 - Red, 4XL",product-2-4xl-red,26,852,"Color: Red, Size: 4XL",,publish,,33,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,7,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Red,4XL,,,,,,,,,,,,
"Product 2 - Red, XS",product-2-xs-red,26,853,"Color: Red, Size: XS",,publish,,34,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,Red,XS,,,,,,,,,,,,
"Product 2 - Sky Blue, 2XL",product-2-2xl-sky-blue,26,854,"Color: Sky Blue, Size: 2XL",,publish,,35,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,6,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,"Sky Blue",2XL,,,,,,,,,,,,
"Product 2 - Sky Blue, 3XL",product-2-3xl-sky-blue,26,855,"Color: Sky Blue, Size: 3XL",,publish,,36,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,7,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,"Sky Blue",3XL,,,,,,,,,,,,
"Product 2 - Sky Blue, 4XL",product-2-4xl-sky-blue,26,856,"Color: Sky Blue, Size: 4XL",,publish,,37,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,"Sky Blue",4XL,,,,,,,,,,,,
"Product 2 - Sky Blue, L",product-2-l-sky-blue,26,857,"Color: Sky Blue, Size: L",,publish,,38,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,7,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,"Sky Blue",L,,,,,,,,,,,,
"Product 2 - Sky Blue, M",product-2-m-sky-blue,26,858,"Color: Sky Blue, Size: M",,publish,,39,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,"Sky Blue",M,,,,,,,,,,,,
"Product 2 - Sky Blue, S",product-2-s-sky-blue,26,859,"Color: Sky Blue, Size: S",,publish,,40,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,5,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,"Sky Blue",S,,,,,,,,,,,,
"Product 2 - Sky Blue, XL",product-2-xl-sky-blue,26,860,"Color: Sky Blue, Size: XL",,publish,,41,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,"Sky Blue",XL,,,,,,,,,,,,
"Product 2 - Sky Blue, XS",product-2-xs-sky-blue,26,861,"Color: Sky Blue, Size: XS",,publish,,42,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,"Sky Blue",XS,,,,,,,,,,,,
"Product 2 - Sky Blue, XXL",product-2-xxl-sky-blue,26,862,"Color: Sky Blue, Size: XXL",,publish,,43,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,13,,,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,outofstock,,,,,0,,"Sky Blue",XXL,,,,,,,,,,,,
"Product 2 - White, 2XL",product-2-2xl-white,26,863,"Color: White, Size: 2XL",,publish,,44,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,8,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,White,2XL,,,,,,,,,,,,
"Product 2 - White, 3XL",product-2-3xl-white,26,864,"Color: White, Size: 3XL",,publish,,45,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,9,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,White,3XL,,,,,,,,,,,,
"Product 2 - White, 4XL",product-2-4xl-white,26,865,"Color: White, Size: 4XL",,publish,,46,"2021-07-08 09:58:24",1,closed,,HK25674,,,no,no,0,14,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,http://205.134.254.135/~teamh/apparel_direct/product/product-2/,,,,,,,,,0,,White,4XL,,,,,,,,,,,,
